reporting_year,reporting_month,organization,action_as_per_source,enforcement_type,proactive_flag,topic,value,units,date,year,month,quarter,month_sin,month_cos,platform_avg_enforcement,topic_avg_enforcement,log_value,organization_encoded,action_as_per_source_encoded,enforcement_type_encoded,proactive_flag_encoded,topic_encoded,units_encoded
2025,12,threads,Proactive Rate,content actioned,Proactive,adult nudity and sexual activity,98.9,value in percenatge,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,143.73461538461538,191.13304347826087,4.604169685654508,5,15,1,0,1,2
2025,12,threads,Content Actioned,content actioned,Unknown,adult nudity and sexual activity,33.3,value in thousands,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,143.73461538461538,191.13304347826087,3.535145354171894,5,10,1,1,1,4
2025,12,threads,Proactive Rate,content actioned,Proactive,bullying and harassment,12.0,value in percenatge,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,143.73461538461538,197.25565217391306,2.5649493574615367,5,15,1,0,3,2
2025,12,threads,Content Actioned,content actioned,Unknown,bullying and harassment,558.0,value in absolute number,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,143.73461538461538,197.25565217391306,6.326149473155099,5,10,1,1,3,0
2025,12,threads,Proactive Rate,content actioned,Proactive,child endangerment - nudity and physical abuse,99.7,value in percenatge,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,143.73461538461538,109.2233644859813,4.612145799724517,5,15,1,0,5,2
2025,12,threads,Content Actioned,content actioned,Unknown,child endangerment - nudity and physical abuse,10.3,value in thousands,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,143.73461538461538,109.2233644859813,2.424802725718295,5,10,1,1,5,4
2025,12,threads,Proactive Rate,content actioned,Proactive,child endangerment - sexual exploitation,97.4,value in percenatge,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,143.73461538461538,194.28551401869157,4.589040804058207,5,15,1,0,6,2
2025,12,threads,Content Actioned,content actioned,Unknown,child endangerment - sexual exploitation,7.2,value in thousands,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,143.73461538461538,194.28551401869157,2.1041341542702074,5,10,1,1,6,4
2025,12,threads,Proactive Rate,content actioned,Proactive,dangerous organizations and individuals: organized hate,87.0,value in percenatge,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,143.73461538461538,55.39217391304348,4.477336814478207,5,15,1,0,11,2
2025,12,threads,Content Actioned,content actioned,Unknown,dangerous organizations and individuals: organized hate,231.0,value in absolute number,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,143.73461538461538,55.39217391304348,5.44673737166631,5,10,1,1,11,0
2025,12,threads,Proactive Rate,content actioned,Proactive,dangerous organizations and individuals: terrorism,99.0,value in percenatge,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,143.73461538461538,98.71608695652174,4.605170185988092,5,15,1,0,12,2
2025,12,threads,Content Actioned,content actioned,Unknown,dangerous organizations and individuals: terrorism,2.4,value in thousands,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,143.73461538461538,98.71608695652174,1.2237754316221157,5,10,1,1,12,4
2025,12,threads,Proactive Rate,content actioned,Proactive,hate speech,53.4,value in percenatge,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,143.73461538461538,362.6427983539094,3.996364153861897,5,15,1,0,14,2
2025,12,threads,Content Actioned,content actioned,Unknown,hate speech,536.0,value in absolute number,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,143.73461538461538,362.6427983539094,6.285998094508865,5,10,1,1,14,0
2025,12,threads,Proactive Rate,content actioned,Proactive,regulated goods: drugs,90.9,value in percenatge,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,143.73461538461538,68.04292035398231,4.520701029361641,5,15,1,0,27,2
2025,12,threads,Content Actioned,content actioned,Unknown,regulated goods: drugs,198.0,value in absolute number,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,143.73461538461538,68.04292035398231,5.293304824724492,5,10,1,1,27,0
2025,12,threads,Proactive Rate,content actioned,Proactive,regulated goods: firearms,99.8,value in percenatge,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,143.73461538461538,65.43859649122807,4.613138355637268,5,15,1,0,28,2
2025,12,threads,Content Actioned,content actioned,Unknown,regulated goods: firearms,520.0,value in absolute number,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,143.73461538461538,65.43859649122807,6.255750041753367,5,10,1,1,28,0
2025,12,threads,Proactive Rate,content actioned,Proactive,spam,99.8,value in percenatge,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,143.73461538461538,108699.60666666667,4.613138355637268,5,15,1,0,32,2
2025,12,threads,Content Actioned,content actioned,Unknown,spam,51.7,value in thousands,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,143.73461538461538,108699.60666666667,3.9646154555473165,5,10,1,1,32,4
2025,12,threads,Proactive Rate,content actioned,Proactive,suicide and self-injury,99.9,value in percenatge,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,143.73461538461538,105.15555555555555,4.6141299273595635,5,15,1,0,33,2
2025,12,threads,Content Actioned,content actioned,Unknown,suicide and self-injury,47.0,value in thousands,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,143.73461538461538,105.15555555555555,3.8712010109078907,5,10,1,1,33,4
2025,12,threads,Proactive Rate,content actioned,Proactive,violence and incitement,67.7,value in percenatge,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,143.73461538461538,125.37943925233645,4.229749199228304,5,15,1,0,38,2
2025,12,threads,Content Actioned,content actioned,Unknown,violence and incitement,421.0,value in absolute number,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,143.73461538461538,125.37943925233645,6.045005314036012,5,10,1,1,38,0
2025,12,threads,Proactive Rate,content actioned,Proactive,violent and graphic content,98.1,value in percenatge,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,143.73461538461538,278.27434782608697,4.596129441335942,5,15,1,0,39,2
2025,12,threads,Content Actioned,content actioned,Unknown,violent and graphic content,17.6,value in thousands,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,143.73461538461538,278.27434782608697,2.9231615807191558,5,10,1,1,39,4
2025,12,facebook,Content Actioned,content actioned,Unknown,adult nudity and sexual activity,548.0,value in thousands,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,114.48907967032967,191.13304347826087,6.3080984415095305,0,10,1,1,1,4
2025,12,facebook,Proactive Rate,content actioned,Proactive,adult nudity and sexual activity,95.1,value in percentage,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,114.48907967032967,191.13304347826087,4.565389315976247,0,15,1,0,1,3
2025,12,facebook,Content Actioned,content actioned,Unknown,bullying and harassment,7.3,value in thousands,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,114.48907967032967,197.25565217391306,2.1162555148025524,0,10,1,1,3,4
2025,12,facebook,Proactive Rate,content actioned,Proactive,bullying and harassment,34.9,value in percentage,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,114.48907967032967,197.25565217391306,3.580737295494233,0,15,1,0,3,3
2025,12,facebook,Content Actioned,content actioned,Unknown,child endangerment - nudity and physical abuse,250.7,value in thousands,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,114.48907967032967,109.2233644859813,5.52823790214127,0,10,1,1,5,4
2025,12,facebook,Proactive Rate,content actioned,Proactive,child endangerment - nudity and physical abuse,99.5,value in percentage,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,114.48907967032967,109.2233644859813,4.61015772749913,0,15,1,0,5,3
2025,12,facebook,Content Actioned,content actioned,Unknown,child endangerment - sexual exploitation,274.5,value in thousands,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,114.48907967032967,194.28551401869157,5.6185876285929695,0,10,1,1,6,4
2025,12,facebook,Proactive Rate,content actioned,Proactive,child endangerment - sexual exploitation,98.8,value in percentage,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,114.48907967032967,194.28551401869157,4.603168183317418,0,15,1,0,6,3
2025,12,facebook,Content Actioned,content actioned,Unknown,dangerous organizations and individuals: organized hate,3.7,value in thousands,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,114.48907967032967,55.39217391304348,1.547562508716013,0,10,1,1,11,4
2025,12,facebook,Proactive Rate,content actioned,Proactive,dangerous organizations and individuals: organized hate,96.3,value in percentage,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,114.48907967032967,55.39217391304348,4.577798989191959,0,15,1,0,11,3
2025,12,facebook,Content Actioned,content actioned,Unknown,dangerous organizations and individuals: terrorism,51.9,value in thousands,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,114.48907967032967,98.71608695652174,3.9684033388642534,0,10,1,1,12,4
2025,12,facebook,Proactive Rate,content actioned,Proactive,dangerous organizations and individuals: terrorism,99.2,value in percentage,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,114.48907967032967,98.71608695652174,4.607168188650764,0,15,1,0,12,3
2025,12,facebook,Content Actioned,content actioned,Unknown,hate speech,1.9,value in thousands,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,114.48907967032967,362.6427983539094,1.0647107369924282,0,10,1,1,14,4
2025,12,facebook,Proactive Rate,content actioned,Proactive,hate speech,40.1,value in percentage,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,114.48907967032967,362.6427983539094,3.716008121502189,0,15,1,0,14,3
2025,12,facebook,Content Actioned,content actioned,Unknown,regulated goods: drugs,7.3,value in thousands,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,114.48907967032967,68.04292035398231,2.1162555148025524,0,10,1,1,27,4
2025,12,facebook,Proactive Rate,content actioned,Proactive,regulated goods: drugs,97.9,value in percentage,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,114.48907967032967,68.04292035398231,4.594109238628667,0,15,1,0,27,3
2025,12,facebook,Content Actioned,content actioned,Unknown,regulated goods: firearms,51.2,value in thousands,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,114.48907967032967,65.43859649122807,3.955082494888593,0,10,1,1,28,4
2025,12,facebook,Proactive Rate,content actioned,Proactive,regulated goods: firearms,99.9,value in percentage,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,114.48907967032967,65.43859649122807,4.6141299273595635,0,15,1,0,28,3
2025,12,facebook,Content Actioned,content actioned,Unknown,spam,1.3,value in millions,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,114.48907967032967,108699.60666666667,0.832909122935104,0,10,1,1,32,1
2025,12,facebook,Proactive Rate,content actioned,Proactive,spam,99.7,value in percentage,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,114.48907967032967,108699.60666666667,4.612145799724517,0,15,1,0,32,3
2025,12,facebook,Content Actioned,content actioned,Unknown,suicide and self-injury,2.0,value in millions,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,114.48907967032967,105.15555555555555,1.0986122886681096,0,10,1,1,33,1
2025,12,facebook,Proactive Rate,content actioned,Proactive,suicide and self-injury,100.0,value in percentage,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,114.48907967032967,105.15555555555555,4.61512051684126,0,15,1,0,33,3
2025,12,facebook,Content Actioned,content actioned,Unknown,violence and incitement,2.5,value in thousands,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,114.48907967032967,125.37943925233645,1.252762968495368,0,10,1,1,38,4
2025,12,facebook,Proactive Rate,content actioned,Proactive,violence and incitement,49.3,value in percentage,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,114.48907967032967,125.37943925233645,3.9180050771056933,0,15,1,0,38,3
2025,12,facebook,Content Actioned,content actioned,Unknown,violent and graphic content,310.4,value in thousands,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,114.48907967032967,278.27434782608697,5.741078259399898,0,10,1,1,39,4
2025,12,facebook,Proactive Rate,content actioned,Proactive,violent and graphic content,98.0,value in percentage,2025-12-01,2025,12,4,-2.4492935982947064e-16,1.0,114.48907967032967,278.27434782608697,4.59511985013459,0,15,1,0,39,3
2025,11,facebook,Proactive Rate,content actioned,Proactive,adult nudity and sexual activity,98.1,value in percentage,2025-11-01,2025,11,4,-0.5000000000000004,0.8660254037844384,114.48907967032967,191.13304347826087,4.596129441335942,0,15,1,0,1,3
2025,11,facebook,Content Actioned,content actioned,Unknown,adult nudity and sexual activity,1.1,value in millions,2025-11-01,2025,11,4,-0.5000000000000004,0.8660254037844384,114.48907967032967,191.13304347826087,0.7419373447293773,0,10,1,1,1,1
2025,11,facebook,Proactive Rate,content actioned,Proactive,bullying and harassment,34.8,value in percentage,2025-11-01,2025,11,4,-0.5000000000000004,0.8660254037844384,114.48907967032967,197.25565217391306,3.5779478934066544,0,15,1,0,3,3
2025,11,facebook,Content Actioned,content actioned,Unknown,bullying and harassment,13.0,value in thousands,2025-11-01,2025,11,4,-0.5000000000000004,0.8660254037844384,114.48907967032967,197.25565217391306,2.639057329615259,0,10,1,1,3,4
2025,11,facebook,Proactive Rate,content actioned,Proactive,child endangerment - nudity and physical abuse,99.5,value in percentage,2025-11-01,2025,11,4,-0.5000000000000004,0.8660254037844384,114.48907967032967,109.2233644859813,4.61015772749913,0,15,1,0,5,3
2025,11,facebook,Content Actioned,content actioned,Unknown,child endangerment - nudity and physical abuse,270.9,value in thousands,2025-11-01,2025,11,4,-0.5000000000000004,0.8660254037844384,114.48907967032967,109.2233644859813,5.605434351638425,0,10,1,1,5,4
2025,11,facebook,Proactive Rate,content actioned,Proactive,child endangerment - sexual exploitation,99.3,value in percentage,2025-11-01,2025,11,4,-0.5000000000000004,0.8660254037844384,114.48907967032967,194.28551401869157,4.60816569496789,0,15,1,0,6,3
2025,11,facebook,Content Actioned,content actioned,Unknown,child endangerment - sexual exploitation,290.7,value in thousands,2025-11-01,2025,11,4,-0.5000000000000004,0.8660254037844384,114.48907967032967,194.28551401869157,5.675725876873676,0,10,1,1,6,4
2025,11,facebook,Proactive Rate,content actioned,Proactive,dangerous organizations and individuals: organized hate,97.2,value in percentage,2025-11-01,2025,11,4,-0.5000000000000004,0.8660254037844384,114.48907967032967,55.39217391304348,4.58700621536042,0,15,1,0,11,3
2025,11,facebook,Content Actioned,content actioned,Unknown,dangerous organizations and individuals: organized hate,5.1,value in thousands,2025-11-01,2025,11,4,-0.5000000000000004,0.8660254037844384,114.48907967032967,55.39217391304348,1.8082887711792655,0,10,1,1,11,4
2025,11,facebook,Proactive Rate,content actioned,Proactive,dangerous organizations and individuals: terrorism,99.2,value in percentage,2025-11-01,2025,11,4,-0.5000000000000004,0.8660254037844384,114.48907967032967,98.71608695652174,4.607168188650764,0,15,1,0,12,3
2025,11,facebook,Content Actioned,content actioned,Unknown,dangerous organizations and individuals: terrorism,93.2,value in thousands,2025-11-01,2025,11,4,-0.5000000000000004,0.8660254037844384,114.48907967032967,98.71608695652174,4.545420181582317,0,10,1,1,12,4
2025,11,facebook,Proactive Rate,content actioned,Proactive,hate speech,35.7,value in percentage,2025-11-01,2025,11,4,-0.5000000000000004,0.8660254037844384,114.48907967032967,362.6427983539094,3.6027767550605247,0,15,1,0,14,3
2025,11,facebook,Content Actioned,content actioned,Unknown,hate speech,3.5,value in thousands,2025-11-01,2025,11,4,-0.5000000000000004,0.8660254037844384,114.48907967032967,362.6427983539094,1.5040773967762742,0,10,1,1,14,4
2025,11,facebook,Proactive Rate,content actioned,Proactive,regulated goods: drugs,97.2,value in percentage,2025-11-01,2025,11,4,-0.5000000000000004,0.8660254037844384,114.48907967032967,68.04292035398231,4.58700621536042,0,15,1,0,27,3
2025,11,facebook,Content Actioned,content actioned,Unknown,regulated goods: drugs,8.6,value in thousands,2025-11-01,2025,11,4,-0.5000000000000004,0.8660254037844384,114.48907967032967,68.04292035398231,2.2617630984737906,0,10,1,1,27,4
2025,11,facebook,Proactive Rate,content actioned,Proactive,regulated goods: firearms,99.9,value in percentage,2025-11-01,2025,11,4,-0.5000000000000004,0.8660254037844384,114.48907967032967,65.43859649122807,4.6141299273595635,0,15,1,0,28,3
2025,11,facebook,Content Actioned,content actioned,Unknown,regulated goods: firearms,60.9,value in thousands,2025-11-01,2025,11,4,-0.5000000000000004,0.8660254037844384,114.48907967032967,65.43859649122807,4.12552017969055,0,10,1,1,28,4
2025,11,facebook,Proactive Rate,content actioned,Proactive,spam,99.1,value in percentage,2025-11-01,2025,11,4,-0.5000000000000004,0.8660254037844384,114.48907967032967,108699.60666666667,4.6061696863211745,0,15,1,0,32,3
2025,11,facebook,Content Actioned,content actioned,Unknown,spam,3.2,value in millions,2025-11-01,2025,11,4,-0.5000000000000004,0.8660254037844384,114.48907967032967,108699.60666666667,1.4350845252893227,0,10,1,1,32,1
2025,11,facebook,Proactive Rate,content actioned,Proactive,suicide and self-injury,99.9,value in percentage,2025-11-01,2025,11,4,-0.5000000000000004,0.8660254037844384,114.48907967032967,105.15555555555555,4.6141299273595635,0,15,1,0,33,3
2025,11,facebook,Content Actioned,content actioned,Unknown,suicide and self-injury,1.3,value in millions,2025-11-01,2025,11,4,-0.5000000000000004,0.8660254037844384,114.48907967032967,105.15555555555555,0.832909122935104,0,10,1,1,33,1
2025,11,facebook,Proactive Rate,content actioned,Proactive,violence and incitement,68.9,value in percentage,2025-11-01,2025,11,4,-0.5000000000000004,0.8660254037844384,114.48907967032967,125.37943925233645,4.247065649239764,0,15,1,0,38,3
2025,11,facebook,Content Actioned,content actioned,Unknown,violence and incitement,3.9,value in thousands,2025-11-01,2025,11,4,-0.5000000000000004,0.8660254037844384,114.48907967032967,125.37943925233645,1.589235205116581,0,10,1,1,38,4
2025,11,facebook,Proactive Rate,content actioned,Proactive,violent and graphic content,98.5,value in percentage,2025-11-01,2025,11,4,-0.5000000000000004,0.8660254037844384,114.48907967032967,278.27434782608697,4.600157644164547,0,15,1,0,39,3
2025,11,facebook,Content Actioned,content actioned,Unknown,violent and graphic content,326.1,value in thousands,2025-11-01,2025,11,4,-0.5000000000000004,0.8660254037844384,114.48907967032967,278.27434782608697,5.790265934544339,0,10,1,1,39,4
2025,10,facebook,Proactive Rate,content actioned,Proactive,adult nudity and sexual activity,96.5,value in percentage,2025-10-01,2025,10,4,-0.8660254037844386,0.5000000000000001,114.48907967032967,191.13304347826087,4.579852378003801,0,15,1,0,1,3
2025,10,facebook,Content Actioned,content actioned,Unknown,adult nudity and sexual activity,992.9,value in thousands,2025-10-01,2025,10,4,-0.8660254037844386,0.5000000000000001,114.48907967032967,191.13304347826087,6.90163659797396,0,10,1,1,1,4
2025,10,facebook,Proactive Rate,content actioned,Proactive,bullying and harassment,24.6,value in percentage,2025-10-01,2025,10,4,-0.8660254037844386,0.5000000000000001,114.48907967032967,197.25565217391306,3.242592351485517,0,15,1,0,3,3
2025,10,facebook,Content Actioned,content actioned,Unknown,bullying and harassment,14.1,value in thousands,2025-10-01,2025,10,4,-0.8660254037844386,0.5000000000000001,114.48907967032967,197.25565217391306,2.714694743820879,0,10,1,1,3,4
2025,10,facebook,Proactive Rate,content actioned,Proactive,child endangerment - nudity and physical abuse,99.4,value in percentage,2025-10-01,2025,10,4,-0.8660254037844386,0.5000000000000001,114.48907967032967,109.2233644859813,4.609162207257629,0,15,1,0,5,3
2025,10,facebook,Content Actioned,content actioned,Unknown,child endangerment - nudity and physical abuse,203.6,value in thousands,2025-10-01,2025,10,4,-0.8660254037844386,0.5000000000000001,114.48907967032967,109.2233644859813,5.321056853517526,0,10,1,1,5,4
2025,10,facebook,Proactive Rate,content actioned,Proactive,child endangerment - sexual exploitation,99.1,value in percentage,2025-10-01,2025,10,4,-0.8660254037844386,0.5000000000000001,114.48907967032967,194.28551401869157,4.6061696863211745,0,15,1,0,6,3
2025,10,facebook,Content Actioned,content actioned,Unknown,child endangerment - sexual exploitation,166.1,value in thousands,2025-10-01,2025,10,4,-0.8660254037844386,0.5000000000000001,114.48907967032967,194.28551401869157,5.118592435601348,0,10,1,1,6,4
2025,10,facebook,Proactive Rate,content actioned,Proactive,dangerous organizations and individuals: organized hate,95.4,value in percentage,2025-10-01,2025,10,4,-0.8660254037844386,0.5000000000000001,114.48907967032967,55.39217391304348,4.5685062016165,0,15,1,0,11,3
2025,10,facebook,Content Actioned,content actioned,Unknown,dangerous organizations and individuals: organized hate,3.9,value in thousands,2025-10-01,2025,10,4,-0.8660254037844386,0.5000000000000001,114.48907967032967,55.39217391304348,1.589235205116581,0,10,1,1,11,4
2025,10,facebook,Proactive Rate,content actioned,Proactive,dangerous organizations and individuals: terrorism,99.1,value in percentage,2025-10-01,2025,10,4,-0.8660254037844386,0.5000000000000001,114.48907967032967,98.71608695652174,4.6061696863211745,0,15,1,0,12,3
2025,10,facebook,Content Actioned,content actioned,Unknown,dangerous organizations and individuals: terrorism,76.8,value in thousands,2025-10-01,2025,10,4,-0.8660254037844386,0.5000000000000001,114.48907967032967,98.71608695652174,4.354141431184346,0,10,1,1,12,4
2025,10,facebook,Proactive Rate,content actioned,Proactive,hate speech,25.2,value in percentage,2025-10-01,2025,10,4,-0.8660254037844386,0.5000000000000001,114.48907967032967,362.6427983539094,3.265759410767051,0,15,1,0,14,3
2025,10,facebook,Content Actioned,content actioned,Unknown,hate speech,3.0,value in thousands,2025-10-01,2025,10,4,-0.8660254037844386,0.5000000000000001,114.48907967032967,362.6427983539094,1.3862943611198906,0,10,1,1,14,4
2025,10,facebook,Proactive Rate,content actioned,Proactive,regulated goods: drugs,96.6,value in percentage,2025-10-01,2025,10,4,-0.8660254037844386,0.5000000000000001,114.48907967032967,68.04292035398231,4.580877493419047,0,15,1,0,27,3
2025,10,facebook,Content Actioned,content actioned,Unknown,regulated goods: drugs,6.3,value in thousands,2025-10-01,2025,10,4,-0.8660254037844386,0.5000000000000001,114.48907967032967,68.04292035398231,1.9878743481543455,0,10,1,1,27,4
2025,10,facebook,Proactive Rate,content actioned,Proactive,regulated goods: firearms,99.9,value in percentage,2025-10-01,2025,10,4,-0.8660254037844386,0.5000000000000001,114.48907967032967,65.43859649122807,4.6141299273595635,0,15,1,0,28,3
2025,10,facebook,Content Actioned,content actioned,Unknown,regulated goods: firearms,62.5,value in thousands,2025-10-01,2025,10,4,-0.8660254037844386,0.5000000000000001,114.48907967032967,65.43859649122807,4.151039905898646,0,10,1,1,28,4
2025,10,facebook,Proactive Rate,content actioned,Proactive,spam,99.2,value in percentage,2025-10-01,2025,10,4,-0.8660254037844386,0.5000000000000001,114.48907967032967,108699.60666666667,4.607168188650764,0,15,1,0,32,3
2025,10,facebook,Content Actioned,content actioned,Unknown,spam,1.5,value in millions,2025-10-01,2025,10,4,-0.8660254037844386,0.5000000000000001,114.48907967032967,108699.60666666667,0.9162907318741551,0,10,1,1,32,1
2025,10,facebook,Proactive Rate,content actioned,Proactive,suicide and self-injury,99.8,value in percentage,2025-10-01,2025,10,4,-0.8660254037844386,0.5000000000000001,114.48907967032967,105.15555555555555,4.613138355637268,0,15,1,0,33,3
2025,10,facebook,Content Actioned,content actioned,Unknown,suicide and self-injury,930.6,value in thousands,2025-10-01,2025,10,4,-0.8660254037844386,0.5000000000000001,114.48907967032967,105.15555555555555,6.836903538010186,0,10,1,1,33,4
2025,10,facebook,Proactive Rate,content actioned,Proactive,violence and incitement,54.2,value in percentage,2025-10-01,2025,10,4,-0.8660254037844386,0.5000000000000001,114.48907967032967,125.37943925233645,4.01096295328305,0,15,1,0,38,3
2025,10,facebook,Content Actioned,content actioned,Unknown,violence and incitement,3.8,value in thousands,2025-10-01,2025,10,4,-0.8660254037844386,0.5000000000000001,114.48907967032967,125.37943925233645,1.5686159179138452,0,10,1,1,38,4
2025,10,facebook,Proactive Rate,content actioned,Proactive,violent and graphic content,97.1,value in percentage,2025-10-01,2025,10,4,-0.8660254037844386,0.5000000000000001,114.48907967032967,278.27434782608697,4.585987366571318,0,15,1,0,39,3
2025,10,facebook,Content Actioned,content actioned,Unknown,violent and graphic content,210.0,value in thousands,2025-10-01,2025,10,4,-0.8660254037844386,0.5000000000000001,114.48907967032967,278.27434782608697,5.351858133476067,0,10,1,1,39,4
2025,9,facebook,Proactive Rate,content actioned,Proactive,adult nudity and sexual activity,97.2,value in percentage,2025-09-01,2025,9,3,-1.0,-1.8369701987210297e-16,114.48907967032967,191.13304347826087,4.58700621536042,0,15,1,0,1,3
2025,9,facebook,Content Actioned,content actioned,Unknown,adult nudity and sexual activity,1.1,value in millions,2025-09-01,2025,9,3,-1.0,-1.8369701987210297e-16,114.48907967032967,191.13304347826087,0.7419373447293773,0,10,1,1,1,1
2025,9,facebook,Proactive Rate,content actioned,Proactive,bullying and harassment,16.4,value in percentage,2025-09-01,2025,9,3,-1.0,-1.8369701987210297e-16,114.48907967032967,197.25565217391306,2.856470206220483,0,15,1,0,3,3
2025,9,facebook,Content Actioned,content actioned,Unknown,bullying and harassment,15.9,value in thousands,2025-09-01,2025,9,3,-1.0,-1.8369701987210297e-16,114.48907967032967,197.25565217391306,2.827313621929028,0,10,1,1,3,4
2025,9,facebook,Proactive Rate,content actioned,Proactive,child endangerment - nudity and physical abuse,99.5,value in percentage,2025-09-01,2025,9,3,-1.0,-1.8369701987210297e-16,114.48907967032967,109.2233644859813,4.61015772749913,0,15,1,0,5,3
2025,9,facebook,Content Actioned,content actioned,Unknown,child endangerment - nudity and physical abuse,175.2,value in thousands,2025-09-01,2025,9,3,-1.0,-1.8369701987210297e-16,114.48907967032967,109.2233644859813,5.171619713502079,0,10,1,1,5,4
2025,9,facebook,Proactive Rate,content actioned,Proactive,child endangerment - sexual exploitation,99.0,value in percentage,2025-09-01,2025,9,3,-1.0,-1.8369701987210297e-16,114.48907967032967,194.28551401869157,4.605170185988092,0,15,1,0,6,3
2025,9,facebook,Content Actioned,content actioned,Unknown,child endangerment - sexual exploitation,113.3,value in thousands,2025-09-01,2025,9,3,-1.0,-1.8369701987210297e-16,114.48907967032967,194.28551401869157,4.738826570800765,0,10,1,1,6,4
2025,9,facebook,Proactive Rate,content actioned,Proactive,dangerous organizations and individuals: organized hate,96.6,value in percentage,2025-09-01,2025,9,3,-1.0,-1.8369701987210297e-16,114.48907967032967,55.39217391304348,4.580877493419047,0,15,1,0,11,3
2025,9,facebook,Content Actioned,content actioned,Unknown,dangerous organizations and individuals: organized hate,3.6,value in thousands,2025-09-01,2025,9,3,-1.0,-1.8369701987210297e-16,114.48907967032967,55.39217391304348,1.5260563034950494,0,10,1,1,11,4
2025,9,facebook,Proactive Rate,content actioned,Proactive,dangerous organizations and individuals: terrorism,98.8,value in percentage,2025-09-01,2025,9,3,-1.0,-1.8369701987210297e-16,114.48907967032967,98.71608695652174,4.603168183317418,0,15,1,0,12,3
2025,9,facebook,Content Actioned,content actioned,Unknown,dangerous organizations and individuals: terrorism,45.4,value in thousands,2025-09-01,2025,9,3,-1.0,-1.8369701987210297e-16,114.48907967032967,98.71608695652174,3.8372994592322094,0,10,1,1,12,4
2025,9,facebook,Proactive Rate,content actioned,Proactive,hate speech,16.7,value in percentage,2025-09-01,2025,9,3,-1.0,-1.8369701987210297e-16,114.48907967032967,362.6427983539094,2.8735646395797834,0,15,1,0,14,3
2025,9,facebook,Content Actioned,content actioned,Unknown,hate speech,3.7,value in thousands,2025-09-01,2025,9,3,-1.0,-1.8369701987210297e-16,114.48907967032967,362.6427983539094,1.547562508716013,0,10,1,1,14,4
2025,9,facebook,Proactive Rate,content actioned,Proactive,regulated goods: drugs,97.5,value in percentage,2025-09-01,2025,9,3,-1.0,-1.8369701987210297e-16,114.48907967032967,68.04292035398231,4.590056548178043,0,15,1,0,27,3
2025,9,facebook,Content Actioned,content actioned,Unknown,regulated goods: drugs,6.2,value in thousands,2025-09-01,2025,9,3,-1.0,-1.8369701987210297e-16,114.48907967032967,68.04292035398231,1.9740810260220096,0,10,1,1,27,4
